Card Name,Original Yu-Gi-Oh! Page,Matched TCG Snapshot,Passcode,Status,Attribute,Type,Level,Rank,Link Rating,Link Arrows,Pendulum Scale,ATK,DEF,Spell/Trap Property,Summoning Condition,Pendulum Effect / Condition,Lore / Effect / Description,Supports,Anti-Supports,Card Actions,Effect Types
Harpie Lady Phoenix Formation,12,Yes,,,SPELL,,,,,,,,,,,,"If you control 3 or more ""Harpie Lady"" and/or ""Harpie Lady Sisters"": Target as many monsters your opponent controls as possible, but not more than the total number of ""Harpie Lady"" and ""Harpie Lady Sisters"" you control; destroy those targets, and if you do, inflict damage to your opponent equal to the highest original ATK among those destroyed monsters (your choice, if tied). You cannot Special Summon monsters from the Main Deck or Extra Deck, nor conduct your Battle Phase, the turn you activate this card.",Harpie Lady/Harpie Lady Sisters,,Cannot conduct Battle Phase,Activation requirement/Effect/Condition
Harpie Lady Sisters,12,Yes,,,WIND,[Winged Beast/Effect],6,,,,,1950,2100,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist"".",Elegant Egotist,,,Summon
Harpie Lady Sparrow Formation,12,No,,,,,,,,,,,,,,,,,,,
Harpie's Feather Duster,12,Yes,,,SPELL,,,,,,,,,,,,Destroy all Spells and Traps your opponent controls.,,,,Effect
Harpie's Feather Storm,12,Yes,,,TRAP,,,,,,,,,,,,"If you control a WIND Winged Beast monster: Until the end of this turn, negate any monster effects your opponent activates. If you control a ""Harpie"" monster, you can activate this card from your hand. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can add 1 ""Harpie's Feather Duster"" from your Deck or GY to your hand.",Supports archetypes /Harpie,,Activates if destroyed by card effect/Adds from Deck to hand/Activates from your Graveyard,Activation requirement/Effect/Condition/Trigger-like
Harpie's Pet Dragon,13,Yes,,,WIND,[Dragon/Effect],7,,,,,2000,2500,,,,"Gains 300 ATK/DEF for each ""Harpie Lady"" on the field.",Harpie Lady,,,Continuous
Hayabusa Knight,13,Yes,,,EARTH,[Warrior/Effect],3,,,,,1000,700,,,,This card can make a second attack during each Battle Phase.,,,,Continuous
Hercules Beetle,13,Yes,,,EARTH,[Insect/Normal],5,,,,,1500,2000,,,,A massive beetle with a tough carapace and a dangerous horn.,,,,
Hero of the East,13,Yes,,,EARTH,[Warrior/Normal],3,,,,,1100,1000,,,,Feel da strength ah dis sword-swingin' samurai from da Far East.,,,,
Hinotama,13,Yes,,,SPELL,,,,,,,,,,,,Inflict 500 damage to your opponent.,,,,Effect
Hitotsu-Me Giant,13,Yes,,,EARTH,[Beast-Warrior/Normal],4,,,,,1200,1000,,,,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.",,,,
Horn Imp,13,No,,,,,,,,,,,,,,,,,,,
Horn of Heaven,13,Yes,,,TRAP,,,,,,,,,Counter,,,"When a monster(s) would be Summoned: Tribute 1 monster; negate the Summon, and if you do, destroy that monster(s).",,,Tributes for cost,Activation requirement/Cost/Effect
Horn of the Unicorn,13,Yes,,,SPELL,,,,,,,,,Equip,,,The equipped monster gains 700 ATK and DEF. When this card is sent from the field to the Graveyard: Return it to the top of the Deck.,,,Returns itself from Graveyard to Deck/Activates from your Graveyard,Continuous-like/Trigger-like
Horned Saurus,13,Yes,,,DARK,[Dinosaur/Fusion?Effect],6,,,,,2000,1800,,Kaitoptera + 1 Dinosaur or Dragon monster,,"This card can attack directly the turn it is Special Summoned. You can only use each of the following effects of ""Horned Saurus"" once per turn. If this card is Fusion Summoned: You can place 1 Field Spell from your Deck or GY face-up in your Field Zone. During your Main Phase, you can: Immediately after this effect resolves, Normal Summon 1 Dinosaur or Dragon monster.",Dinosaur/Dragon/Field Spell Card,,Activates upon Fusion Summon/Places from Deck to Field Zone/Places from Graveyard to Field Zone,Continuous/Condition/Trigger/Ignition
Humanoid Slime,13,Yes,,,WATER,[Aqua/Normal],4,,,,,800,2000,,,,This slime apparently has some human genes in its genetic makeup.,,,,
Humanoid Worm Drake,13,Yes,,,WATER,[Aqua/Fusion],7,,,,,2200,2000,,,,"Worm Drake + ""Humanoid Slime""",,,,
Hurricail,13,No,,,,,,,,,,,,,,,,,,,
Hyozanryu,13,Yes,,,LIGHT,[Dragon/Normal],7,,,,,2100,2800,,,,A dragon created from a massive diamond that sparkles with blinding light.,,,,
Illusionist Faceless Mage,13,Yes,,,DARK,[Spellcaster/Normal],5,,,,,1200,2200,,,,Manipulates enemy attacks with the power of illusion.,,,,
Infestation,13,No,,,,,,,,,,,,,,,,,,,
Infinite Cards,13,Yes,,,SPELL,,,,,,,,,Continuous,,,There is no limit to the hand size for each player.,,,Increases your hand size limit/Increases your opponent's hand size limit,Continuous-like
Infinite Dismissal,13,Yes,,,TRAP,,,,,,,,,Continuous,,,Level 3 or lower monsters are destroyed during the End Phase of the turn that they are Normal Summoned or Flip Summoned.,,,,Trigger-like
Insect Armor with Laser Cannon Lev. 5,13,No,,,,,,,,,,,,,,,,,,,
Insect Barrier,13,Yes,,,SPELL,,,,,,,,,Continuous,,,Insect monsters your opponent controls cannot declare an attack.,,Insect,,Continuous-like
Insect Soldiers of the Sky,13,Yes,,,WIND,[Insect/Effect],3,,,,,1000,800,,,,The ATK of this card increases by 1000 points whenever it attacks a WIND monster.,,WIND,,Continuous
Interdimensional Matter Transporter,13,Yes,,,TRAP,,,,,,,,,,,,Target 1 face-up monster you control; banish that target until the End Phase.,,,Returns banished cards to the field,Effect
Invigoration,13,Yes,,,SPELL,,,,,,,,,Equip,,,An EARTH monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,EARTH,EARTH,,Continuous-like
Jellyfish,13,Yes,,,WATER,[Aqua/Normal],4,,,,,1200,1500,,,,"An almost invisible, semi-transparent jellyfish that drifts in the sea.",,,,
Jet Gauntlet,14,No,,,,,,,,,,,,,,,,,,,
Jigen Bakudan,14,Yes,,,FIRE,[Pyro/Flip?Effect],2,,,,,200,1000,,,,"FLIP: After this card is flipped, offer it as a Tribute during your Standby Phase to destroy all monsters on your side of the field and inflict Direct Damage equal to half of the total ATK of the destroyed cards (excluding this monster) to your opponent's Life Points.",,,Activates upon being flipped face-up/Tributes itself for cost,Flip/Trigger
Jinzo,14,Yes,,,DARK,[Machine/Effect],6,,,,,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous
Jirai Gumo,14,Yes,,,EARTH,[Insect/Effect],4,,,,,2200,100,,,,"When this card declares an attack: Toss a coin and call it. If you call it wrong, lose half your LP.",,,Activates upon attack declaration,Trigger
Judge Man,14,Yes,,,EARTH,[Warrior/Normal],6,,,,,2200,1500,,,,This club-wielding warrior battles to the end and will never surrender.,,,,
Junk Dealer,14,No,,,,,,,,,,,,,,,,,,,
Jurassic Heart,14,No,,,,,,,,,,,,,,,,,,,
Kagemusha of the Blue Flame,14,Yes,,,EARTH,[Warrior/Normal],2,,,,,800,400,,,,"Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.",,,,
Kairyu-Shin,14,Yes,,,WATER,[Sea Serpent/Normal],5,,,,,1800,1500,,,,"A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves.",,,,
Kaiser Glider,14,Yes,,,LIGHT,[Dragon/Effect],6,,,,,2400,2200,,,,Cannot be destroyed by battle with a monster that has the same ATK. If this card is destroyed and sent to the GY: Target 1 monster on the field; return that target to the hand.,,,Activates from your Graveyard/Returns from field to hand,Continuous/Trigger
Kaiser Sea Horse,14,Yes,,,LIGHT,[Sea Serpent/Effect],4,,,,,1700,1650,,,,This card can be treated as 2 Tributes for the Tribute Summon of a LIGHT monster.,LIGHT,,,Unclassified
Kaitoptera,14,Yes,,,WIND,[Dinosaur/Effect],4,,,,,1400,1000,,,,"If your opponent controls 2 or more face-up monsters, except WIND monsters, those monsters cannot target this card for attacks. You can only use each of the following effects of ""Kaitoptera"" once per turn. During your Main Phase: You can add 1 ""Polymerization"" from your Deck to your hand. If this card is banished: You can Special Summon it, then you can add 1 ""Polymerization"" from your GY to your hand.",Polymerization,,Adds from Deck to hand/Activates while banished/Adds from Graveyard to hand,Continuous/Condition/Ignition/Trigger
Kamakiriman,14,No,,,,,,,,,,,,,,,,,,,
Kazejin,14,Yes,,,WIND,[Spellcaster/Effect],7,,,,,2400,2200,,,,"Once while face-up on the field, during damage calculation in your opponent's turn, if this card is being attacked (Quick Effect): You can target the attacking monster; make that target's ATK 0 during damage calculation only.",,,,Quick/Condition
KC-1 Crayton,14,No,,,,,,,,,,,,,,,,,,,
Killer Needle,14,Yes,,,WIND,[Insect/Normal],4,,,,,1200,1000,,,,A huge bee with exceptional strength that's particularly dangerous in a swarm.,,,,
Kinetic Soldier,14,No,,,,,,,,,,,,,,,,,,,
King of Yamimakai,14,Yes,,,DARK,[Fiend/Normal],5,,,,,2000,1530,,,,Wields the power of darkness to destroy its enemies.,,,,
Kiseitai,14,Yes,,,DARK,[Fiend/Effect],2,,,,,300,800,,,,"When your opponent's monster attacks this card in face-down Defense Position, this card becomes an Equip Spell Card equipped to the attacking monster (No damage calculation is conducted). During each of your opponent's Standby Phases, increase your Life Points by half of the ATK of the monster equipped with this card.",,,Equips self from field,Trigger/Trigger-like
Knight of Dark Dragon,14,No,,,,,,,,,,,,,,,,,,,
Knight's Title,14,Yes,,,SPELL,,,,,,,,,,,,"Tribute 1 face-up ""Dark Magician""; Special Summon 1 ""Dark Magician Knight"" from your hand, Deck or Graveyard.",Dark Magician/Dark Magician Knight,,Tributes for cost,Cost/Effect
Kojikocy,14,Yes,,,EARTH,[Warrior/Normal],4,,,,,1500,1200,,,,A man-hunter with powerful arms that can crush boulders.,,,,
Koumori Dragon,14,Yes,,,DARK,[Dragon/Normal],4,,,,,1500,1200,,,,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",,,,
Krokodilus,14,No,,,,,,,,,,,,,,,,,,,
Kunai with Chain,15,Yes,,,TRAP,,,,,,,,,,,,Activate 1 or both of these effects (simultaneously);?When an opponent's monster declares an attack: Target the attacking monster; change that target to Defense Position.?Target 1 face-up monster you control; equip this card to that target. It gains 500 ATK.,,,Activates upon attack declaration/Equips self from field/Changes battle positions,Condition/Activation requirement/Effect/Continuous-like
Kuribandit,15,Yes,,,DARK,[Fiend/Effect],3,,,,,1000,700,,,,"During the End Phase, if this card was Normal Summoned this turn: You can Tribute this card; excavate the top 5 cards of your Deck, you can add 1 excavated Spell/Trap to your hand, also send the remaining cards to the GY.",,,Tributes itself for cost/Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Trigger
Kuriboh,15,Yes,,,DARK,[Fiend/Effect],1,,,,,300,200,,,,"During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.",,,Activates from your hand/Discards itself for cost,Quick
La Jinn the Mystical Genie of the Lamp,15,Yes,,,DARK,[Fiend/Normal],4,,,,,1800,1000,,,,A genie of the lamp that is at the beck and call of its master.,,,,
Labyrinth Tank,15,Yes,,,DARK,[Machine/Fusion],7,,,,,2400,2400,,,,"Giga-Tech Wolf + ""Cannon Soldier""",,,,
Labyrinth Wall,15,Yes,,,EARTH,[Rock/Normal],5,,,,,0,3000,,,,These walls form a labyrinth with no exit for enemies.,,,,
Lady of Faith,15,Yes,,,LIGHT,[Spellcaster/Normal],3,,,,,1100,800,,,,Soothes the souls of others by chanting a mysterious spell.,,,,
Larvae Moth,15,Yes,,,EARTH,[Insect/Effect],2,,,,,500,400,,,,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by offering ""Petit Moth"" as a Tribute on the 2nd of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",Petit Moth/Cocoon of Evolution,,Tributes for cost,Summon
Laser Cannon Armor,15,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to an Insect monster. It gains 300 ATK/DEF.,Insect,,,Continuous-like
Last Turn,15,Yes,,,TRAP,,,,,,,,,,,,"This card can only be activated during your opponent's turn when your Life Points are 1000 or less. Select 1 monster on your side of the field and send all other cards on the field and in their respective owners' hands to their respective Graveyards. After that, your opponent selects and Special Summons 1 monster from their Deck in face-up Attack Position and attacks your selected monster. (Any Battle Damage from this battle is treated as 0.) The player whose monster remains alone on the field at the End Phase of this turn wins the Duel. Any other case results in a DRAW.",,,Sends from field to Graveyard/Sends from hand to Graveyard/Conducts multiple Battle Phases,Activation requirement/Effect/Lingering
Launcher Spider,15,Yes,,,FIRE,[Machine/Normal],7,,,,,2200,2500,,,,A mechanical spider with rocket launchers capable of random fire.,,,,
Lava Battleguard,15,Yes,,,EARTH,[Warrior/Effect],5,,,,,1550,1800,,,,"Gains 500 ATK for each ""Swamp Battleguard"" you control.",Swamp Battleguard,,,Continuous
Left Arm of the Forbidden One,15,Yes,,,DARK,[Spellcaster/Normal],1,,,,,200,300,,,,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,,,,
Left Leg of the Forbidden One,15,Yes,,,DARK,[Spellcaster/Normal],1,,,,,200,300,,,,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,,,,
Legendary Sword,15,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to a Warrior monster. It gains 300 ATK/DEF.,Warrior,,,Condition/Continuous-like
Leghul,15,Yes,,,EARTH,[Insect/Effect],1,,,,,300,350,,,,This monster may attack your opponent's Life Points directly.,,,,Continuous
Legion the Fiend Jester,15,Yes,,,DARK,[Spellcaster/Effect],4,,,,,1300,1500,,,,"During your Main Phase, you can Tribute Summon 1 Spellcaster monster in Attack Position, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is sent from the field to the GY: You can add 1 Spellcaster Normal Monster from your Deck or GY to your hand. You can only use this effect of ""Legion the Fiend Jester"" once per turn.",Spellcaster/Normal Monster,,Activates from your Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Continuous/Trigger/Condition
Leogun,15,Yes,,,EARTH,[Beast/Normal],5,,,,,1750,1550,,,,Huge monster with a lion's mane similar to the King of Beasts.,,,,
Lightforce Sword,15,Yes,,,TRAP,,,,,,,,,,,,"Banish 1 random card from your opponent's hand, face-down. During your opponent's 4th Standby Phase after this card's activation, return that card to their hand.",,,Returns the opponent's banished cards to the hand,Effect/Lingering
Lightning Blade,15,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to a Warrior monster. It gains 800 ATK. All WATER monsters on the field lose 500 ATK.,Warrior,WATER,,Condition/Continuous-like
Limit Tribute,15,No,,,,,,,,,,,,,,,,,,,
Limiter Removal,15,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Double the ATK of all Machine monsters you currently control, until the end of this turn. During the End Phase of this turn, destroy those monsters.",Machine,,,Effect/Lingering
Little-Winguard,15,Yes,,,WIND,[Warrior/Effect],4,,,,,1400,1800,,,,"Once per turn, during your End Phase: You can change the battle position of this card.",,,Changes battle positions,Trigger
Living Arrow,15,No,,,,,,,,,,,,,,,,,,,
Lord of D.,16,Yes,,,DARK,[Spellcaster/Effect],4,,,,,1200,1100,,,,Neither player can target Dragon monsters on the field with card effects.,Dragon,,,Continuous
Lord of the Red,16,Yes,,,FIRE,[Dragon/Ritual?Effect],8,,,,,2400,2100,,,,"You can Ritual Summon this card with ""Red-Eyes Transmigration"". Once per turn, when a card or effect is activated, except ""Lord of the Red"" (Quick Effect): You can target 1 monster on the field; destroy it. Once per turn, when a card or effect is activated, except ""Lord of the Red"" (Quick Effect): You can target 1 Spell/Trap on the field; destroy it.",,,,Summon/Quick
Lord of Zemia,16,No,,,,,,,,,,,,,,,,,,,
Lullaby of Obedience,16,Yes,,,SPELL,,,,,,,,,,,,"Pay 2000 LP and declare 1 Monster Card name; your opponent looks at their Deck, reveals 1 of the declared monsters if there is any, and chooses 1 of these effects to be applied.?The declared monster is added to the hand of the player who activated this card.?The player who activated this card Special Summons the declared monster to their field in Attack Position, ignoring its Summoning conditions.",,,Declares a card name/Reveals cards from your opponent's Deck/Exchanges cards/Adds from Deck to hand,Cost/Effect
M-Warrior #1,16,Yes,,,EARTH,[Warrior/Normal],3,,,,,1000,500,,,,"Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape.",,,,
Machine Conversion Factory,16,Yes,,,SPELL,,,,,,,,,Equip,,,Equip only to a Machine monster. It gains 300 ATK/DEF.,Machine,,,Continuous-like
Machine King,16,Yes,,,EARTH,[Machine/Effect],6,,,,,2200,2000,,,,This card gains 100 ATK for each Machine-Type monster on the field.,Machine,Machine,,Continuous
Mad Sword Beast,16,Yes,,,EARTH,[Dinosaur/Effect],4,,,,,1400,1200,,,,"If this card attacks a Defense Position monster, inflict piercing battle damage.",,,,Continuous
Magic Jammer,16,Yes,,,TRAP,,,,,,,,,Counter,,,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",,,Discards for cost,Activation requirement/Cost/Effect
Magical Academy,16,No,,,,,,,,,,,,,,,,,,,
Magical Dimension,16,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"If you control a Spellcaster monster: Target 1 monster you control; Tribute that target, then Special Summon 1 Spellcaster monster from your hand, then you can destroy 1 monster on the field.",Spellcaster,,Tributes as an effect,Activation requirement/Effect
Magical Hats,16,Yes,,,TRAP,,,,,,,,,,,,"During your opponent's Battle Phase: Choose 2 Spells/Traps from your Deck and 1 monster in your Main Monster Zone. Special Summon them as Normal Monsters (ATK 0/DEF 0) in face-down Defense Position, Set the chosen monster if it is face-up, and shuffle them on the field. The 2 cards chosen from your Deck are destroyed at the end of the Battle Phase, and cannot remain on the field except during this Battle Phase.",,,Flips monsters face-down/Rearranges face-down cards,Activation requirement/Effect/Condition
Magical Labyrinth,16,Yes,,,SPELL,,,,,,,,,Equip,,,"Equip only to ""Labyrinth Wall"". You can Tribute the equipped monster; Special Summon ""Wall Shadow"" from your Deck.",Labyrinth Wall/Wall Shadow,,,Condition/Ignition-like
Magical Pigeon,16,No,,,,,,,,,,,,,,,,,,,
Magical Trick Mirror,16,Yes,,,TRAP,,,,,,,,,,,,"When an opponent's monster declares an attack: Target 1 Spell in your opponent's GY; Set it to your field. You can banish this card from your GY and send 1 ""Monster Reborn"" from your hand or face-down field to the GY; Special Summon 1 ""Obelisk the Tormentor"" from your GY in Defense Position, and if you activated this effect during your opponent's turn, all monsters your opponent controls that can attack must attack that face-up monster, this turn, while you control it.",Monster Reborn/Obelisk the Tormentor,,Activates upon attack declaration/Sets from your opponent's Graveyard/Activates from your Graveyard/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost,Effect/Quick-like
Maha Vailo,16,Yes,,,LIGHT,[Spellcaster/Effect],4,,,,,1550,1400,,,,Gains 500 ATK for each Equip Card equipped to this card.,Equip Card,,,Continuous
"Makiu, the Magical Mist",16,Yes,,,SPELL,,,,,,,,,,,,"Target 1 ""Summoned Skull"", or 1 Thunder monster, in your Monster Zone; destroy all monsters your opponent controls with DEF less than or equal to the ATK of that monster. You cannot conduct your Battle Phase the turn you activate this card.",Summoned Skull/Thunder,,Cannot conduct Battle Phase,Effect/Condition
Mammoth Graveyard,16,Yes,,,EARTH,[Dinosaur/Normal],3,,,,,1200,800,,,,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.,,,,
Man-Eating Plant,16,No,,,,,,,,,,,,,,,,,,,
Martyr Curse,16,No,,,,,,,,,,,,,,,,,,,
Masaki the Legendary Swordsman,16,Yes,,,EARTH,[Warrior/Normal],4,,,,,1100,1100,,,,Legendary swordmaster Masaki is a veteran of over 100 battles.,,,,
Mask of Dispel,16,Yes,,,SPELL,,,,,,,,,Continuous,,,"Select 1 face-up Spell Card on the field. The controller of the Spell Card takes 500 points of damage during each of your Standby Phases. When the selected card is removed from the field, destroy this card.",,,,Trigger-like/Continuous-like
Mask of Restrict,16,Yes,,,TRAP,,,,,,,,,Continuous,,,Neither player can Tribute cards.,,,Prevents the player's Tributes/Prevents the opponent's Tributes,Continuous-like
Mask of the Accursed,16,Yes,,,SPELL,,,,,,,,,Equip,,,"The equipped monster cannot attack. Once per turn, during your Standby Phase: Inflict 500 damage to the controller of the equipped monster.",,,,Continuous-like/Trigger-like
Mechanicalchaser,17,Yes,,,DARK,[Machine/Normal],4,,,,,1850,800,,,,A hunter that relentlessly pursues its target by order of the Machine King.,,,,
Megazowler,17,Yes,,,EARTH,[Dinosaur/Normal],6,,,,,1800,2000,,,,Nothing stands in the way of this spike-covered dinosaur!,,,,
Mesmeric Control,17,Yes,,,SPELL,,,,,,,,,,,,Your opponent cannot change the battle positions of monsters during their next turn.,,,Prevents Battle Position changes,Effect
Metal Guardian,17,Yes,,,DARK,[Fiend/Normal],5,,,,,1150,2150,,,,"A fiend guarding the treasures of the netherworld, it's most at home in the dark.",,,,
Metalmorph,17,Yes,,,TRAP,,,,,,,,,,,,"Target 1 face-up monster on the field; equip this card to that target. It gains 300 ATK/DEF. If it attacks, it gains ATK equal to half the ATK of the attack target, during damage calculation only.",,,Equips self from field,Effect/Continuous-like
Metalzoa,17,Yes,,,DARK,[Machine/Effect],8,,,,,3000,2300,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your Deck) by Tributing ""Zoa"" equipped with ""Metalmorph"".",Zoa/Metalmorph,,Tributes for cost,Summon
Meteor of Destruction,17,Yes,,,SPELL,,,,,,,,,,,,If your opponent's Life Points are higher than 3000: Inflict 1000 damage to your opponent.,,,,Activation requirement/Effect
Meteorain,17,Yes,,,TRAP,,,,,,,,,,,,"During this turn, when your monsters attack with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.",,,,Effect
Michizure,17,Yes,,,TRAP,,,,,,,,,,,,"When a monster is sent from the field to your GY, even during the Damage Step: Target 1 monster on the field; destroy it.",,,,Activation requirement/Effect
Mimesis,17,No,,,,,,,,,,,,,,,,,,,
Mind Control,17,Yes,,,SPELL,,,,,,,,,,,,"Target 1 monster your opponent controls; until the End Phase, take control of that target, but it cannot declare an attack or be Tributed.",,,Changes control/Cannot be Tributed,Effect
Mirage Knight,17,Yes,,,LIGHT,[Warrior/Effect],8,,,,,2800,2000,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Dark Flare Knight"" and cannot be Special Summoned by other ways. During damage calculation only, this card gains ATK equal to the original ATK of the opponent's monster it is battling. During the End Phase of a turn this card attacked or was attacked: Banish this card.",Dark Flare Knight,,,Summon/Continuous/Trigger
Mirror Force,17,Yes,,,TRAP,,,,,,,,,,,,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,,,Activates upon attack declaration,Activation requirement/Effect
Mirror Wall,17,Yes,,,TRAP,,,,,,,,,Continuous,,,"Halve the ATK of your opponent's attacking monsters. Once per turn, during your Standby Phase, pay 2000 LP or destroy this card.",,,,Continuous-like/Maintenance cost
Monster Reborn,17,Yes,,,SPELL,,,,,,,,,,,,Target 1 monster in either GY; Special Summon it.,,,,Effect
Monster Recovery,17,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Target 1 monster you control that is owned by you; if that monster is still on the field, shuffle it and your entire hand into the Deck, also, after that, draw cards equal to the number of cards you shuffled from your hand into the Deck by this effect. (You cannot activate this card if you have a card in your hand that is owned by your opponent.)",,,Returns from your field to your Deck/Returns from your hand to your Deck/You draw cards,Effect/Condition
Monster Replace,17,No,,,,,,,,,,,,,,,,,,,
Monster Tamer,17,Yes,,,EARTH,[Warrior/Normal],5,,,,,1800,1600,,,,A master of monsters that exercises control over several creatures.,,,,
Multiply,17,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Tribute 1 face-up ""Kuriboh""; Special Summon as many ""Kuriboh Tokens"" (Fiend/DARK/Level 1/ATK 300/DEF 200) as possible, in Defense Position. They cannot be Tributed for a Tribute Summon.",Kuriboh,,Tributes for cost,Cost/Effect/Lingering
Musician King,17,Yes,,,LIGHT,[Spellcaster/Fusion],5,,,,,1750,1500,,,,"Witch of the Black Forest + ""Lady of Faith""",,,,
Mystic Box,17,Yes,,,SPELL,,,,,,,,,,,,"Target 1 monster your opponent controls and 1 monster you control; destroy the first target, then give control of the second target to your opponent.",,,Changes control,Effect
Mystic Horseman,17,Yes,,,EARTH,[Beast/Normal],4,,,,,1300,1550,,,,"Half man and half horse, this monster is known for its extreme speed.",,,,
Mystic Tomato,17,Yes,,,DARK,[Plant/Effect],4,,,,,1400,1100,,,,When this card is destroyed by battle and sent to the GY: You can Special Summon 1 DARK monster with 1500 or less ATK from your Deck in Attack Position.,DARK,,Activates if destroyed by battle/Activates from your Graveyard,Trigger
Mystical Elf,17,Yes,,,LIGHT,[Spellcaster/Normal],4,,,,,800,2000,,,,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",,,,
Natural Selection,18,No,,,,,,,,,,,,,,,,,,,
Negate Attack,18,Yes,,,TRAP,,,,,,,,,Counter,,,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, then end the Battle Phase.",,,Activates upon attack declaration/Ends the Battle Phase,Activation requirement/Effect
Negative Energy,18,No,,,,,,,,,,,,,,,,,,,
Neko Mane King,18,Yes,,,EARTH,[Beast/Effect],1,,,,,0,0,,,,"During your opponent's turn, when this card in your possession is sent to your GY by an opponent's card effect: It becomes the End Phase of this turn.",,,Activates from your Graveyard/Ends your opponent's turn,Trigger
Nighmare Tri-Mirror,18,No,,,,,,,,,,,,,,,,,,,
Nightmare Binding,18,No,,,,,,,,,,,,,,,,,,,
Nightmare's Chains,18,No,,,,,,,,,,,,,,,,,,,
Obedience,18,No,,,,,,,,,,,,,,,,,,,
Obelisk the Tormentor,18,Yes,,,DIVINE,[Divine-Beast/Effect],10,,,,,4000,4000,,,,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Neither player can target this card with card effects. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the GY. You can Tribute 2 monsters; destroy all monsters your opponent controls. This card cannot declare an attack the turn this effect is activated.",,,Sends itself from field to Graveyard/Tributes for cost,Summon/Unclassified/Continuous/Trigger/Ignition/Condition
Oni Tank T-34,18,Yes,,,EARTH,[Machine/Normal],4,,,,,1400,1700,,,,An armored tank possessed by a fiend that will pursue enemies until they're crushed.,,,,
Orgoth the Relentless,18,Yes,,,EARTH,[Warrior/Effect],7,,,,,2500,2450,,,,"Once per turn, during your Main Phase: You can roll a six-sided die 3 times and this card gains ATK/DEF equal to the total x 100 (until the end of your opponent's turn), then, if 2 of the results were the same, apply the appropriate effect. If all 3 were the same, apply all of these effects.?1 or 2: This card cannot be destroyed by battle or card effects, until the end of your opponent's turn.?3 or 4: Draw 2 cards.?5 or 6: This card can attack directly this turn.",,,You draw cards,Ignition
Orichalcos Aristeros,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Deuteros,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Dexia,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Kyutora,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Malevolence,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Sword of Sealing,18,No,,,,,,,,,,,,,,,,,,,
Orichalcos Tritos,18,No,,,,,,,,,,,,,,,,,,,
Over Boost,18,No,,,,,,,,,,,,,,,,,,,
Painful Choice,18,Yes,,,SPELL,,,,,,,,,,,,Select 5 cards from your Deck and show them to your opponent. Your opponent selects 1 card among them. Add that card to your hand and discard the remaining cards to the Graveyard.,,,Reveals cards from your Deck/Adds from Deck to hand/Sends from your Deck to your Graveyard,Effect
